,Density,Density_Sat,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
ND70_02_01_06032022_150x150_sp1,2803.6103091534665,2894.9272485894494,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02_01_06032022_150x150_sp2,,,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_02_01_06032022_150x150_sp3,,,0.6332949704004388,0.23697653099727242,60.92299005436306,7.139587655764862,28.289674251768716,8.198062689008902,356.5210802141545,14.561920855830648,0.6695683663664229,0.2849659327756185,0.604398415428899,0.26487948186516763
ND70_03_01_06032022_150x150_sp1,,,0.6285268361784723,0.22949346595808123,60.58269455642901,7.114636803052377,27.697231028505698,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038599,0.2839038291018597,0.5875548763908491,0.26391410285732475
ND70_03_01_06032022_150x150_sp2,,,0.6285268361784723,0.22949346595808123,60.58269455642901,7.114636803052377,27.697231028505698,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038599,0.2839038291018597,0.5875548763908491,0.26391410285732475
ND70_03_01_06032022_150x150_sp3,,,0.6285268361784723,0.22949346595808123,60.58269455642901,7.114636803052377,27.697231028505698,8.168334393739926,359.17910457631996,14.375869278710873,0.6472748213038599,0.2839038291018597,0.5875548763908491,0.26391410285732475
ND70_04_02_06032022_150x150_sp1,,,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_04_02_06032022_150x150_sp2,,,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_04_02_06032022_150x150_sp3,,,0.6365230283913935,0.24424975789458775,61.15337232764959,7.156500370433721,28.690762180927806,8.218158819936257,353.9375914721256,14.741196604147582,0.6846612418887554,0.2856833657914115,0.6158016012992222,0.2655327779601455
ND70_05_02_06032022_150x150_sp1,,,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_05_02_06032022_150x150_sp2,,,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_05_02_06032022_150x150_sp3,,,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_05_03_06032022_150x50_sp1,,,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_05_03_06032022_200x50_sp2,,,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_05_03_06032022_80x100_sp3,,,0.6235615029052991,0.24391576681072374,60.2283252203439,7.088693404741895,27.08028571782596,8.137319650589644,354.0562268752668,14.732996994287548,0.6240592665558071,0.2827947386393562,0.5700147273660332,0.26290828401721733
ND70_degassed_06032022_150x150_sp1,,,0.6368398077756491,0.23565306314675,61.175980457639696,7.158160968236439,28.730122188581745,8.220129613809197,356.9911830090397,14.529135572537854,0.6861423527696648,0.28575369978916604,0.6169206314432514,0.265596876191369
ND70_degassed_06032022_150x150_sp2,,,0.6368398077756491,0.23565306314675,61.175980457639696,7.158160968236439,28.730122188581745,8.220129613809197,356.9911830090397,14.529135572537854,0.6861423527696648,0.28575369978916604,0.6169206314432514,0.265596876191369
Villa_P2_150x150_06032022_sp1,,,0.674469535211931,0.3962941558254412,63.86156484745392,7.356532095782318,33.40563591681422,8.452631475052833,299.9306154917774,18.213304990346835,0.8620811970303692,0.294022383583232,0.749848471465921,0.2731965197160923
Villa_P2_150x150_06032022_sp2,,,0.674469535211931,0.3962941558254412,63.86156484745392,7.356532095782318,33.40563591681422,8.452631475052833,299.9306154917774,18.213304990346835,0.8620811970303692,0.294022383583232,0.749848471465921,0.2731965197160923
Villa_P2_150x150_06032022_sp3,,,0.674469535211931,0.3962941558254412,63.86156484745392,7.356532095782318,33.40563591681422,8.452631475052833,299.9306154917774,18.213304990346835,0.8620811970303692,0.294022383583232,0.749848471465921,0.2731965197160923
